case_index,trace,startup_policy,startup_utilization,reset_policy,reset_utilization,usable_i2t_fraction,cooling_tau_s,rated_current_a,samples,valid_updates,invalid_updates,reset_events,authority_loss_events,first_authority_ms,first_reset_ms,first_post_reset_authority_ms,first_post_reset_exhaust_ms,first_prod_exhaust_ms,first_ref_exhaust_ms,first_prod_recovery_ms,first_ref_recovery_ms,prod_utilization_before_reset,prod_utilization_after_reset_seed,max_prod_utilization,max_ref_utilization,final_prod_utilization,final_ref_utilization,max_state_abs_error_a2s,max_state_rel_error,max_cap_abs_error_a,production_underestimate_violations,cap_nonconservative_violations,cap_tolerance_violations,state_tolerance_violations,result_mismatch_violations,latch_mismatch_samples,latch_nonconservative_violations,strict_pass
114,reset_pre_exhaust.csv,cold-soak,0,unknown,0.8,0.5,300,80,4801,4800,0,1,1,300000,305200,-1,313700,313700,313700,-1,-1,0.130314579153,0,4,4,3.91949439049,3.91948797827,2.76231241593,0.000174109699636,0.0377182173866,0,0,0,0,0,0,0,1
115,reset_pre_exhaust.csv,cold-soak,0,unknown,0.8,0.75,300,80,4801,4800,0,1,1,300000,305200,-1,321500,321500,321500,-1,-1,0.0868763861018,0,4,4,3.91949486732,3.91948797827,4.2694322573,0.000178245620144,0.0560533953969,0,0,0,0,0,0,0,1
116,reset_pre_exhaust.csv,cold-soak,0,known-cold,0.8,0.25,300,80,4801,4800,0,1,0,300000,305200,305200,305900,305900,305900,-1,-1,0.260629158305,0,4,4,3.91949439049,3.91948797827,1.36428071777,0.000171021998608,0.0173826917978,0,0,0,0,0,0,0,1
117,reset_pre_exhaust.csv,cold-soak,0,known-cold,0.8,0.5,300,80,4801,4800,0,1,0,300000,305200,305200,313700,313700,313700,-1,-1,0.130314579153,0,4,4,3.91949439049,3.91948797827,2.76231241593,0.000174109699636,0.0377182173866,0,0,0,0,0,0,0,1
118,reset_pre_exhaust.csv,cold-soak,0,known-cold,0.8,0.75,300,80,4801,4800,0,1,0,300000,305200,305200,321500,321500,321500,-1,-1,0.0868763861018,0,4,4,3.91949486732,3.91948797827,4.2694322573,0.000178245620144,0.0560533953969,0,0,0,0,0,0,0,1
119,reset_pre_exhaust.csv,cold-soak,0,seeded,0.5,0.25,300,80,4801,4800,0,1,0,300000,305200,305200,305500,305500,305500,-1,-1,0.260629158305,0.5,4,4,3.91949439049,3.91948797827,1.1652743515,0.00016706760461,0.00726901411795,0,0,0,0,0,0,0,1
120,reset_pre_exhaust.csv,cold-soak,0,seeded,0.5,0.5,300,80,4801,4800,0,1,0,300000,305200,305200,305900,305900,305900,-1,-1,0.130314579153,0.5,4,4,3.91949439049,3.91948797827,2.48542353963,0.00016706760461,0.0173215776143,0,0,0,0,0,0,0,1
121,reset_pre_exhaust.csv,cold-soak,0,seeded,0.5,0.75,300,80,4801,4800,0,1,0,300000,305200,305200,313400,313400,313400,-1,-1,0.0868763861018,0.5,4,4,3.91949486732,3.91948797827,3.86339573058,0.00016706760461,0.0339304354326,0,0,0,0,0,0,0,1
122,reset_pre_exhaust.csv,cold-soak,0,seeded,0.8,0.25,300,80,4801,4800,0,1,0,300000,305200,305200,305300,305300,305300,-1,-1,0.260629158305,0.8,4,4,3.91949439049,3.91948797827,1.08167097496,0.00016706760461,0.00255765604554,0,0,0,0,0,0,0,1
123,reset_pre_exhaust.csv,cold-soak,0,seeded,0.8,0.5,300,80,4801,4800,0,1,0,300000,305200,305200,305500,305500,305500,-1,-1,0.130314579153,0.8,4,4,3.91949439049,3.91948797827,2.3031847287,0.00016706760461,0.00835452733047,0,0,0,0,0,0,0,1
124,reset_pre_exhaust.csv,cold-soak,0,seeded,0.8,0.75,300,80,4801,4800,0,1,0,300000,305200,305200,305600,305600,305600,-1,-1,0.0868763861018,0.8,4,4,3.91949486732,3.91948797827,3.57651057276,0.00016706760461,0.0100366341024,0,0,0,0,0,0,0,1
125,reset_pre_exhaust.csv,cold-soak,0,restore,0.8,0.25,300,80,4801,4800,0,1,0,300000,305200,305200,305700,305700,305700,-1,-1,0.260629158305,0.260629158305,4,4,3.91949439049,3.91948797827,1.36167604937,0.000171199865196,0.0173826917978,0,0,0,0,0,0,0,1
126,reset_pre_exhaust.csv,cold-soak,0,restore,0.8,0.5,300,80,4801,4800,0,1,0,300000,305200,305200,313500,313500,313500,-1,-1,0.130314579153,0.130314579153,4,4,3.91949439049,3.91948797827,2.75390888746,0.00017418126595,0.0373133396152,0,0,0,0,0,0,0,1
127,reset_pre_exhaust.csv,cold-soak,0,restore,0.8,0.75,300,80,4801,4800,0,1,0,300000,305200,305200,321300,321300,321300,-1,-1,0.0868763861018,0.0868763861018,4,4,3.91949486732,3.91948797827,4.27218018789,0.00017900315604,0.0550958266678,0,0,0,0,0,0,0,1
128,reset_midrun.csv,cold-soak,0,unknown,0.8,0.25,300,80,4801,4800,0,1,1,300000,335000,-1,337700,305700,305700,-1,-1,3.93389110232,0,4,4,3.91949439049,3.91948797827,1.36167604937,0.000171199865196,0.0173826917978,0,0,0,0,0,0,0,1
129,reset_midrun.csv,cold-soak,0,unknown,0.8,0.5,300,80,4801,4800,0,1,1,300000,335000,-1,345500,313500,313500,-1,-1,2.46053299369,0,4,4,3.91949439049,3.91948797827,2.75390888746,0.00017418126595,0.0373133396152,0,0,0,0,0,0,0,1
130,reset_midrun.csv,cold-soak,0,unknown,0.8,0.75,300,80,4801,4800,0,1,1,300000,335000,-1,353300,321300,321300,-1,-1,1.64035532913,0,4,4,3.91949486732,3.91948797827,4.27218018789,0.00017900315604,0.0550958266678,0,0,0,0,0,0,0,1
131,reset_midrun.csv,cold-soak,0,known-cold,0.8,0.25,300,80,4801,4800,0,1,0,300000,335000,335000,337700,305700,305700,-1,-1,3.93389110232,0,4,4,3.91949439049,3.91948797827,1.36167604937,0.000171199865196,0.0173826917978,0,0,0,0,0,0,0,1
132,reset_midrun.csv,cold-soak,0,known-cold,0.8,0.5,300,80,4801,4800,0,1,0,300000,335000,335000,345500,313500,313500,-1,-1,2.46053299369,0,4,4,3.91949439049,3.91948797827,2.75390888746,0.00017418126595,0.0373133396152,0,0,0,0,0,0,0,1
133,reset_midrun.csv,cold-soak,0,known-cold,0.8,0.75,300,80,4801,4800,0,1,0,300000,335000,335000,353300,321300,321300,-1,-1,1.64035532913,0,4,4,3.91949486732,3.91948797827,4.27218018789,0.00017900315604,0.0550958266678,0,0,0,0,0,0,0,1
134,reset_midrun.csv,cold-soak,0,seeded,0.5,0.25,300,80,4801,4800,0,1,0,300000,335000,335000,337300,305700,305700,-1,-1,3.93389110232,0.5,4,4,3.91949439049,3.91948797827,1.36167604937,0.000171199865196,0.0173826917978,0,0,0,0,0,0,0,1
135,reset_midrun.csv,cold-soak,0,seeded,0.5,0.5,300,80,4801,4800,0,1,0,300000,335000,335000,337700,313500,313500,-1,-1,2.46053299369,0.5,4,4,3.91949439049,3.91948797827,2.46373228707,0.000171847282803,0.0373133396152,0,0,0,0,0,0,0,1
136,reset_midrun.csv,cold-soak,0,seeded,0.5,0.75,300,80,4801,4800,0,1,0,300000,335000,335000,345200,321300,321300,-1,-1,1.64035532913,0.5,4,4,3.91949486732,3.91948797827,3.88404535941,0.000171847282803,0.0550958266678,0,0,0,0,0,0,0,1
137,reset_midrun.csv,cold-soak,0,seeded,0.8,0.25,300,80,4801,4800,0,1,0,300000,335000,335000,337100,305700,305700,-1,-1,3.93389110232,0.8,4,4,3.91949439049,3.91948797827,1.36167604937,0.000171199865196,0.0173826917978,0,0,0,0,0,0,0,1
138,reset_midrun.csv,cold-soak,0,seeded,0.8,0.5,300,80,4801,4800,0,1,0,300000,335000,335000,337300,313500,313500,-1,-1,2.46053299369,0.8,4,4,3.91949439049,3.91948797827,2.304257084,0.000171847282803,0.0373133396152,0,0,0,0,0,0,0,1
139,reset_midrun.csv,cold-soak,0,seeded,0.8,0.75,300,80,4801,4800,0,1,0,300000,335000,335000,337400,321300,321300,-1,-1,1.64035532913,0.8,4,4,3.91949486732,3.91948797827,3.61458698782,0.000171847282803,0.0550958266678,0,0,0,0,0,0,0,1
140,reset_midrun.csv,cold-soak,0,restore,0.8,0.25,300,80,4801,4800,0,1,0,300000,335000,335000,335000,305700,305700,-1,-1,3.93389110232,3.93389110232,4,4,3.91949439049,3.91948797827,1.36167604937,0.000171199865196,0.0173826917978,0,0,0,0,0,0,0,1
141,reset_midrun.csv,cold-soak,0,restore,0.8,0.5,300,80,4801,4800,0,1,0,300000,335000,335000,335000,313500,313500,-1,-1,2.46053299369,2.46053299369,4,4,3.91949439049,3.91948797827,2.75390888746,0.00017418126595,0.0373133396152,0,0,0,0,0,0,0,1
142,reset_midrun.csv,cold-soak,0,restore,0.8,0.75,300,80,4801,4800,0,1,0,300000,335000,335000,335000,321300,321300,-1,-1,1.64035532913,1.64035532913,4,4,3.91949486732,3.91948797827,4.27218018789,0.00017900315604,0.0550958266678,0,0,0,0,0,0,0,1
