case,trace,peak_production_utilization,peak_reference_utilization,first_production_exhaust_ms,first_reference_exhaust_ms,first_production_recovery_ms,first_reference_recovery_ms,max_state_abs_error,nonconservative_state_violations,nonconservative_cap_violations,nonconservative_latch_violations,status,interpretation
100 A / 0.5 s,single_100a_0p5s.csv,0.00166833365802,0.00166805549042,-1,-1,-1,-1,2.78167595996e-07,0,0,0,PASS,Synthetic characterization only; not guaranteed real-fuse behavior.
100 A / 1.5 s,single_100a_1p5s.csv,0.00499667227268,0.00499583776583,-1,-1,-1,-1,8.3450685049e-07,0,0,0,PASS,Synthetic characterization only; not guaranteed real-fuse behavior.
100 A / 3.0 s,single_100a_3p0s.csv,0.0099684279412,0.00996675868649,-1,-1,-1,-1,1.66925471715e-06,0,0,0,PASS,Synthetic characterization only; not guaranteed real-fuse behavior.
Repeated corner-exit synthetic,repeated_corner_exit.csv,0.18923176825,0.189192922625,-1,-1,-1,-1,3.88456253023e-05,0,0,0,PASS,Synthetic characterization only; not guaranteed real-fuse behavior.
Synthetic autocross,synthetic_autocross.csv,0.0534132532775,0.0534039554488,-1,-1,-1,-1,9.29782872782e-06,0,0,0,PASS,Synthetic characterization only; not guaranteed real-fuse behavior.
Synthetic endurance,synthetic_endurance.csv,0.199548557401,0.199498776388,-1,-1,-1,-1,4.98541047504e-05,0,0,0,PASS,Synthetic characterization only; not guaranteed real-fuse behavior.
160 A / 20 s stress,single_160a_20s.csv,1.52193200588,1.52167345906,317900,317900,658900,658800,0.000258546823146,0,0,0,PASS,Curve-stress trace exceeds normal vehicle static current ceilings; used only to exercise exhaustion/recovery.
200 A / 5 s stress,single_200a_5s.csv,1.53611397743,1.53585904308,308200,308200,646700,646600,0.000254934353486,0,0,0,PASS,Curve-stress trace exceeds normal vehicle static current ceilings; used only to exercise exhaustion/recovery.
